Animal
Albatross
Blackbird
Bluebird
Booby
Buzzard
Canary
Cardinal
Cockatoo
Crane
Crow
Cuckoo
Dove
Duck
Eagle
Egret
Emu
Falcon
Finch
Flamingo
Gull
Hawk
Heron
Hummingbird
Ibis
Kestrel
Kingfisher
Lovebird
Macaw
Magpie
Mallard
Merlin
Mockingbird
Oriole
Osprey
Ostrich
Owl
Parakee
Parrot
Pelican
Penguin
Pheasant
Pigeon
Puffin
Quail
Raven
Roadrunner
Robin
Scrub-jay
Starling
Stork
Swallow
Tern
Tit
Turkey
Vulture
